space_group,n_formula,material,n_primitive,mp_id,sigmaA_300,sigmaA_500,sigmaA_700,source,kappa_exp,bandgap,kappa_bte,ref_exp,ref_bte,kappa_aiGK,comment,use
225,3,K2O,3,mp-971,0.46,0.58,0.67,ICSD_exp,,1.82991309,,,,,,y
225,3,K2S,3,mp-1022,0.31,0.4,0.47,ICSD_exp,,2.31742856,,,,,,y
225,3,K2Te,3,mp-1747,0.32,0.4,0.47,ICSD_exp,,2.14838917,,,,,,y
225,3,Li2O,3,mp-1960,0.24,0.32,0.38,Ramprasad,11,4.85480061,,,,,,y
225,3,Li2S,3,mp-1153,0.29,0.37,0.43,ICSD_exp,,3.20480037,,,,,,y
225,3,Li2Se,3,mp-2286,0.25,0.32,0.38,ICSD_exp,,2.81393156,,,,,,y
225,3,Li2Te,3,mp-2530,0.33,0.41,0.47,ICSD_exp,,2.37959424,,,,,,y
225,3,Na2S,3,mp-648,0.29,0.37,0.44,ICSD_exp,,2.41164736,,,,,,y
225,3,Na2Se,3,mp-1266,0.33,0.42,0.5,ICSD_exp,,2.00228665,,,,,,y
225,3,Na2Te,3,mp-2784,0.31,0.4,0.47,ICSD_exp,,1.99865858,,,,,,y
225,3,Rb2O,3,mp-1394,0.4,0.53,0.62,ICSD_exp,,1.38717546,,,,,,y
225,3,Rb2Se,3,mp-11327,0.38,0.49,0.57,ICSD_exp,,1.78524578,,,,,,y
225,3,SrF2,3,mp-981,0.3,0.4,0.47,AAPL,2.3,5.14514805,1.8,"[82] Moore, J. P., Weaver, F. J., Graves, R. S. & McElroy, D. L. The thermal conductivities of SrCl2 and SrF2 from 85 to 400 K. In Thermal Conductivity 18 (eds Ashworth, T. & Smith, D. R.) 115–124 (Springer, New York, 1985).",aapl,,,y
